keyword,cnp_count,anua_count,bias,brand
타입,90,0,1.0,CNP 특화
클렌저,121,0,1.0,CNP 특화
스팟,146,0,1.0,CNP 특화
오늘,104,0,1.0,CNP 특화
루틴,105,0,1.0,CNP 특화
캐스틸,92,0,1.0,CNP 특화
더마코스메틱,97,0,1.0,CNP 특화
키트,288,0,1.0,CNP 특화
주름,142,0,1.0,CNP 특화
디바이스,161,0,1.0,CNP 특화
헤드,455,0,1.0,CNP 특화
사람,101,0,1.0,CNP 특화
관리,281,0,1.0,CNP 특화
화장,113,0,1.0,CNP 특화
클리어,278,0,1.0,CNP 특화
선택,82,0,1.0,CNP 특화
판매,78,0,1.0,CNP 특화
흡수,96,0,1.0,CNP 특화
장벽,158,0,1.0,CNP 특화
피지,108,0,1.0,CNP 특화
유명,79,0,1.0,CNP 특화
용량,85,0,1.0,CNP 특화
아침,79,0,1.0,CNP 특화
로션,149,0,1.0,CNP 특화
세안,88,0,1.0,CNP 특화
대신,133,0,1.0,CNP 특화
광채,79,0,1.0,CNP 특화
버블,93,0,1.0,CNP 특화
개선,103,0,1.0,CNP 특화
건조,296,0,1.0,CNP 특화
안티,102,0,1.0,CNP 특화
에이징,138,0,1.0,CNP 특화
더블,78,0,1.0,CNP 특화
기능,81,0,1.0,CNP 특화
샘플,203,0,1.0,CNP 특화
코스메틱,142,0,1.0,CNP 특화
정리,87,0,1.0,CNP 특화
카밍,305,0,1.0,CNP 특화
부스트,132,0,1.0,CNP 특화
생각,78,0,1.0,CNP 특화
여드름,235,0,1.0,CNP 특화
안티포어,256,0,1.0,CNP 특화
지성,118,0,1.0,CNP 특화
약국,89,0,1.0,CNP 특화
쿠션,122,0,1.0,CNP 특화
재생,111,0,1.0,CNP 특화
얼굴,108,0,1.0,CNP 특화
블랙,480,0,1.0,CNP 특화
퍼펙트,114,0,1.0,CNP 특화
자극,139,0,1.0,CNP 특화
퓨어,100,0,1.0,CNP 특화
더마앤서,194,0,1.0,CNP 특화
건성,102,0,1.0,CNP 특화
이번,96,0,1.0,CNP 특화
크림,1006,7,0.986,CNP 특화
후기,404,5,0.976,CNP 특화
차앤박,2109,28,0.974,CNP 특화
트러블,726,10,0.973,CNP 특화
클렌징,602,9,0.971,CNP 특화
프로폴리스,753,12,0.969,CNP 특화
미스트,463,10,0.958,CNP 특화
고민,204,5,0.952,CNP 특화
피부,1734,49,0.945,CNP 특화
요즘,170,5,0.943,CNP 특화
보습,262,8,0.941,CNP 특화
올리브,377,13,0.933,CNP 특화
느낌,198,7,0.932,CNP 특화
제품,798,29,0.93,CNP 특화
오일,174,7,0.923,CNP 특화
사용,637,26,0.922,CNP 특화
가격,198,8,0.922,CNP 특화
에너지,218,9,0.921,CNP 특화
탄력,266,11,0.921,CNP 특화
기초,120,5,0.92,CNP 특화
진정,296,13,0.916,CNP 특화
앰프,366,17,0.911,CNP 특화
효과,430,20,0.911,CNP 특화
마스크,189,9,0.909,CNP 특화
스킨,207,10,0.908,CNP 특화
부스터,205,10,0.907,CNP 특화
토너,192,10,0.901,CNP 특화
에센스,239,14,0.889,CNP 특화
확인,82,5,0.885,CNP 특화
성분,314,20,0.88,CNP 특화
앰플,2399,153,0.88,CNP 특화
케어,307,20,0.878,CNP 특화
라인,167,11,0.876,CNP 특화
콜라겐,80,6,0.86,CNP 특화
구매,344,27,0.854,CNP 특화
액티브,263,21,0.852,CNP 특화
패드,132,11,0.846,CNP 특화
비교,273,24,0.838,CNP 특화
에스트라,90,8,0.837,CNP 특화
모공,323,29,0.835,CNP 특화
레티놀,84,10,0.787,CNP 특화
수분,387,47,0.783,CNP 특화
미백,115,15,0.769,CNP 특화
세럼,620,108,0.703,CNP 특화
리뷰,222,45,0.663,CNP 특화
이니스프리,84,17,0.663,CNP 특화
캡슐,0,16,-1.0,ANUA 특화
에이에이치씨,0,5,-1.0,ANUA 특화
판토텐,0,6,-1.0,ANUA 특화
충전,0,6,-1.0,ANUA 특화
하트핏,0,5,-1.0,ANUA 특화
셀퓨전씨,0,5,-1.0,ANUA 특화
안티에이징,0,10,-1.0,ANUA 특화
피지오겔,0,8,-1.0,ANUA 특화
흔적,0,19,-1.0,ANUA 특화
히알루론산,0,24,-1.0,ANUA 특화
하이드라비오,0,5,-1.0,ANUA 특화
알파,0,15,-1.0,ANUA 특화
리얼,0,7,-1.0,ANUA 특화
넘버즈,0,8,-1.0,ANUA 특화
볼륨,0,10,-1.0,ANUA 특화
프로샷,0,5,-1.0,ANUA 특화
그린티,0,10,-1.0,ANUA 특화
유분,0,5,-1.0,ANUA 특화
플러스,0,6,-1.0,ANUA 특화
부작용,0,8,-1.0,ANUA 특화
히알루로닉,0,7,-1.0,ANUA 특화
바이오던스,0,7,-1.0,ANUA 특화
핑크,0,6,-1.0,ANUA 특화
히알루,0,5,-1.0,ANUA 특화
메이크프렘,0,6,-1.0,ANUA 특화
잡티,0,8,-1.0,ANUA 특화
에디터,0,13,-1.0,ANUA 특화
메디힐,0,14,-1.0,ANUA 특화
제형,0,11,-1.0,ANUA 특화
아누아,0,74,-1.0,ANUA 특화
토마토,0,6,-1.0,ANUA 특화
포스트,0,5,-1.0,ANUA 특화
타임라인,0,5,-1.0,ANUA 특화
실크펩타이드,0,5,-1.0,ANUA 특화
정착,0,5,-1.0,ANUA 특화
비타,0,8,-1.0,ANUA 특화
메디큐브,0,15,-1.0,ANUA 특화
만족,0,5,-1.0,ANUA 특화
웰라쥬,0,14,-1.0,ANUA 특화
히알루론,0,6,-1.0,ANUA 특화
포어,0,10,-1.0,ANUA 특화
그린,0,7,-1.0,ANUA 특화
종류,0,5,-1.0,ANUA 특화
세라마이드,0,6,-1.0,ANUA 특화
토리든,0,10,-1.0,ANUA 특화
어성초,0,19,-1.0,ANUA 특화
인트라,0,5,-1.0,ANUA 특화
시작,0,7,-1.0,ANUA 특화
바이오더마,0,6,-1.0,ANUA 특화
밀크,0,5,-1.0,ANUA 특화
블루,0,7,-1.0,ANUA 특화
코스알엑스,0,15,-1.0,ANUA 특화
메노킨,0,5,-1.0,ANUA 특화
이후,0,9,-1.0,ANUA 특화
